feature,mu0,mu1,mu2,sep_12,mu0_entre_mu1_mu2,t_rel,sd0,sd1,sd2
psfMagErr_r,0.4971014897579931,-0.08611900953367403,-0.0416140736375529,0.04450493589612113,False,13.10462508367523,2.556747420091083,0.25221238976247573,0.7060960993817882
fiberMagErr_z,0.3011118039567156,-0.0633867679316478,-0.021444515301862088,0.04194225262978571,False,8.690486300430873,1.0616064485480852,0.16929056550364854,1.1380519451031186
cModelMagErr_z,0.26386214213248954,-0.05743875617324834,-0.01815682126054894,0.0392819349126994,False,8.179355192655365,1.7636016445300868,0.04332241573033887,1.0142784447863764
calibStatus_z,-0.08463855565688755,-0.019813884537593394,0.018645573313286312,0.0384594578508797,False,-1.6855326294676667,1.0820877790553207,1.0359445389471527,0.9762051056778118
calibStatus_r,-0.07693747035378427,-0.01973236073476978,0.01752620833198852,0.0372585690667583,False,-1.5353544446786682,1.0974399720951051,1.0381831567798037,0.9731084976068991
calibStatus_i,-0.1117399706655044,-0.015189554423514034,0.020938059140363143,0.03612761356387718,False,-2.6724825339287834,1.133669444487632,1.0322418001850422,0.9688562704467625
modelMagErr_i,0.33924613884605487,-0.056062182156142164,-0.029307997015918734,0.02675418514022343,False,14.775569464377854,2.937836137679843,0.039649239614998784,0.4960906210240466
cModelMagErr_i,0.3863719687094576,-0.06095084224077827,-0.03435135569786004,0.02659948654291823,False,16.8169716444895,2.8686692536979974,0.03127259213399972,0.5453211311399417
psfMagErr_i,0.6479139447770217,-0.08716064180541253,-0.06265032940733456,0.024510312398077966,False,29.990420956041213,2.6226589836746625,0.2808564703018516,0.6470790828413352
fiberMag_r,0.3697816938631242,-0.021015786141108266,-0.04538915680476713,0.024373370663658862,False,-16.033788900068657,1.1548650101192748,0.9075682136000437,0.996683598514386
fiberMagErr_i,0.6319555374999525,-0.08342726662779462,-0.06163920542907845,0.021788061198716173,False,32.83370638640853,2.4377361786844243,0.3436430234861806,0.7350855520030478
modelMagErr_z,0.5259867304732695,-0.0693024754590935,-0.05134869157491825,0.017953783884175255,False,33.1567545745641,2.910346019317603,0.120076715009794,0.4889999687134276
extinction_u,0.08826161856175435,0.0037345699845294984,-0.013767891829270944,0.017502461813800444,False,-4.829437680051184,1.1003389352412882,1.0357065325875339,0.9735194442624864
extinction_g,0.08826164750464414,0.003734553563906101,-0.013767890427551558,0.01750244399145766,False,-4.82944518959711,1.1003389709150255,1.0357065311742357,0.9735194387671213
extinction_z,0.08826165186903273,0.0037345515453602106,-0.013767890369606977,0.017502441914967186,False,-4.829446127250924,1.1003389825710335,1.0357065106925927,0.9735194441477315
extinction_r,0.08826162717831998,0.0037345431499850646,-0.013767884053419908,0.017502427203404974,False,-4.829449255580435,1.1003389415852904,1.035706506028166,0.9735194527350811
extinction_i,0.08826163727481451,0.0037345377904136386,-0.01376788368804414,0.017502421478457778,False,-4.829451718348687,1.100338913255129,1.0357065253804731,0.973519450233978
mjd,-0.038906290814576173,-0.008273607013643028,0.008291156145191415,0.016564763158834442,False,-1.8492678408502266,0.9987761118964282,1.0841541139980597,0.9717814659453999
calibStatus_g,-0.1069817502697678,0.0029800526678783125,0.014171013397768781,0.011190960729890469,False,-9.82594842317192,1.0932469464575203,1.0127701376874847,0.9823978934025396
cy,0.007320549375861788,0.005378644459972146,-0.002841543622594435,0.00822018808256658,False,-0.2362360686135692,1.0172388517947117,1.0255128448867266,0.9903381599801231
petroMagErr_z,0.36435139741528394,-0.04293100434181535,-0.03727089537115979,0.00566010897065556,False,71.9566361475771,3.2016623623166343,0.025340845015473026,0.12721932744385922
zErr,0.29737911745495166,-0.03410181184874209,-0.03073454059972069,0.0033672712490214023,False,98.44200386292874,3.2274933231231326,0.0014996262858025012,0.005239472391266168
psfMagErr_z,0.5137723591351301,-0.05289211667762062,-0.055119107815587334,0.002226991137966712,False,-254.4529549992403,2.1030086244065056,0.19256015873293206,0.8957795036399177
