modelo,feature,FN_0a1,FN_0a2,TP_0,dif_TP_menos_FN1,dif_TP_menos_FN2,max_abs_dif
CatBoost(bal),score,-0.03100734847071843,0.013377467546062758,-0.6506835732087262,-0.6196762247380078,-0.6640610407547889,0.6640610407547889
CatBoost(bal),fiberMag_i,0.4220694398283677,0.22879776761327783,0.8795501643333278,0.4574807245049601,0.6507523967200499,0.6507523967200499
CatBoost(bal),psfMag_color_u_g,-0.7775163816989858,-0.16222150900767413,-0.8038583569588985,-0.026341975259912664,-0.6416368479512244,0.6416368479512244
CatBoost(bal),petroMag_r,-0.33157019885631156,0.466523380343942,0.31003340372574684,0.6416036025820584,-0.15648997661819514,0.6416036025820584
CatBoost(bal),petroMag_u,-0.5649808196988026,0.3260429556388591,0.06867207147965727,0.6336528911784599,-0.25737088415920184,0.6336528911784599
CatBoost(bal),cModelMag_color_u_r,-0.6423336254095532,-0.11726596084012401,-0.02967193484766584,0.6126616905618874,0.08759402599245818,0.6126616905618874
CatBoost(bal),fiberMag_color_u_r,-0.9218072635064676,-0.07262105003209478,-0.673999955415445,0.24780730809102258,-0.6013789053833503,0.6013789053833503
CatBoost(bal),psfMag_color_i_z,-0.24300266274723312,-0.12422287973012668,-0.680605292894481,-0.4376026301472479,-0.5563824131643543,0.5563824131643543
CatBoost(bal),psfMag_g,0.07061158467330444,0.23771122995539207,0.6261823049847242,0.5555707203114197,0.3884710750293321,0.5555707203114197
CatBoost(bal),fiberMag_color_g_r,-0.8641340125713838,0.04964049461055659,-0.3226808824856194,0.5414531300857643,-0.37232137709617596,0.5414531300857643
CatBoost(bal),psfMag_r,0.48454895747783255,0.2194767196878175,0.7106288106387996,0.22607985316096701,0.49115209095098206,0.49115209095098206
CatBoost(bal),psfMag_u,-0.2988440641024771,0.12827016339915107,0.16393504451467394,0.46277910861715105,0.03566488111552288,0.46277910861715105
CatBoost(bal),petroMagErr_u,-0.11511148711605007,0.18554913561165817,0.3464460245550319,0.46155751167108194,0.1608968889433737,0.46155751167108194
CatBoost(bal),fiberMag_g,-0.08035944552726537,0.22615888393603642,0.3638513129224924,0.44421075844975777,0.13769242898645598,0.44421075844975777
CatBoost(bal),psfMagErr_u,-0.12159275426179078,0.029726647818946603,0.31476501631064707,0.43635777057243785,0.28503836849170044,0.43635777057243785
CatBoost(bal),psfMag_color_u_r,-0.8889298173839184,-0.03219007758484214,-0.4574644239452547,0.4314653934386637,-0.42527434636041256,0.4314653934386637
CatBoost(bal),petroMag_color_u_g,-0.270811535867809,0.03261650383902722,-0.3704912513901795,-0.09967971552237054,-0.4031077552292067,0.4031077552292067
CatBoost(bal),fiberMag_color_i_z,-0.5663210393518889,-0.15321516103423674,-0.5489093833851887,0.017411655966700246,-0.395694222350952,0.395694222350952
CatBoost(bal),petroMag_color_u_r,-0.5020859858349551,0.1153020654860904,-0.10996486646463645,0.3921211193703187,-0.22526693195072683,0.3921211193703187
CatBoost(bal),mRrCcErr_r,0.6093325715147597,-0.15365359398518272,0.23386391768663986,-0.3754686538281199,0.3875175116718226,0.3875175116718226
CatBoost(bal),fiberMag_u,-0.3995119539663835,0.12819368986961752,-0.032762038006931726,0.3667499159594518,-0.16095572787654924,0.3667499159594518
CatBoost(bal),petro_minus_model_u,0.06634581673171423,0.16085243162337295,-0.20464900373171926,-0.2709948204634335,-0.3655014353550922,0.3655014353550922
CatBoost(bal),fiberMag_r,0.31164138595972224,0.25920755047721905,0.6090180517662734,0.2973766658065512,0.3498105012890544,0.3498105012890544
CatBoost(bal),dered_color_u_g,-0.6628427556266722,-0.09655508791539714,-0.31531265644607775,0.3475300991805944,-0.21875756853068062,0.3475300991805944
CatBoost(bal),modelMag_color_u_g,-0.6550529836611962,-0.09938230283043589,-0.3082066500532189,0.34684633360797734,-0.208824347222783,0.34684633360797734
CatBoost(bal),mRrCc_r,0.34963379026750013,-0.18162663655267752,0.025998666613323094,-0.323635123654177,0.2076253031660006,0.323635123654177
CatBoost(bal),petro_minus_model_g,-0.23675904816043314,0.22502686278010284,0.059397830320029425,0.29615687848046257,-0.1656290324600734,0.29615687848046257
CatBoost(bal),calibStatus_i,0.010686836250748302,-0.1218638469285688,-0.274075847640059,-0.2847626838908073,-0.1522120007114902,0.2847626838908073
CatBoost(bal),mjd,-0.026478521240451684,0.06592188310923978,-0.20363647864480908,-0.17715795740435739,-0.26955836175404885,0.26955836175404885
CatBoost(bal),extinction_u,0.18633859379772724,-0.07599427911927865,0.17715862048577555,-0.009179973311951695,0.2531528996050542,0.2531528996050542
CatBoost(bal),extinction_i,0.18633861536042387,-0.07599425337992652,0.17715862529450666,-0.009179990065917215,0.25315287867443315,0.25315287867443315
CatBoost(bal),extinction_r,0.18633859363277985,-0.07599425085450238,0.17715861425678125,-0.009179979375998598,0.25315286511128365,0.25315286511128365
CatBoost(bal),extinction_g,0.18633859741220027,-0.07599417122798316,0.1771585754294297,-0.00918002198277057,0.25315274665741283,0.25315274665741283
CatBoost(bal),extinction_z,0.18633870354745719,-0.07599422113096893,0.17715850922647786,-0.009180194320979329,0.2531527303574468,0.2531527303574468
CatBoost(bal),fiberMagErr_u,-0.1396100108025253,0.012906118949649294,0.08082464720350421,0.22043465800602952,0.06791852825385492,0.22043465800602952
CatBoost(bal),calibStatus_u,0.06976896677476228,-0.010752829019273194,-0.13298552497821167,-0.20275449175297394,-0.12223269595893847,0.20275449175297394
CatBoost(bal),calibStatus_z,0.01430053554229533,-0.11675911475118213,-0.182304692259735,-0.19660522780203032,-0.06554557750855287,0.19660522780203032
CatBoost(bal),cy,0.11861942752331414,-0.1336159597464883,0.04437534362000562,-0.07424408390330853,0.1779913033664939,0.1779913033664939
CatBoost(bal),cx,-0.025462350139569895,0.0036009173209558334,0.15125850343403796,0.17672085357360787,0.14765758611308213,0.17672085357360787
CatBoost(bal),zWarning,-0.0474127826380027,-0.0474127826380027,0.12042007625758204,0.16783285889558475,0.16783285889558475,0.16783285889558475
CatBoost(bal),calibStatus_g,-0.04105244738674429,-0.11097597699907341,-0.19653358814302269,-0.1554811407562784,-0.08555761114394927,0.1554811407562784
CatBoost(bal),cModelMag_color_u_g,-0.33468189366970175,-0.21708795107503684,-0.1865506136848621,0.14813127998483966,0.03053733739017475,0.14813127998483966
CatBoost(bal),calibStatus_r,0.0042140134826962284,-0.12886614186756828,-0.12124329778446097,-0.1254573112671572,0.007622844083107316,0.1254573112671572
CatBoost(bal),cz,0.05683680175849163,-0.07217272237927178,-0.03591775894217992,-0.09275456070067155,0.03625496343709186,0.09275456070067155
